"Text","Category","Label"
"Founding a police force helps police officers acquire combat weapons, SWAT team equipment, and other tools that are used to terrorize black communities.... Tell '@ CocaCola '@ Starbucks '@ Safaricom '@ Target '@ WellsFargo stop funding","Broadcasting and telecommunications","8"
"Police foundations and cops acquire military weapons, SWAT team armor, and surveillance tools to are used to terrorize Black people... Tell '@CocaCola '@Starbucks '@Safaricom '@Target '@WellsFargo to stop funding","Broadcasting and telecommunications","8"
"Police power foundations help cops to acquire military weapons, including SWAT team medical equipment, ammunition and other tactical tools that are used to terrorize Black people... Tell this '@CocaCola Change '@Starbucks '@Safaricom Rule '@Target '@WellsFargo to stop excessive funding","Broadcasting and telecommunications","8"
"Police might help cops acquire military weapons, crime team tools, and other tools that are used to kill different people...<unk> '@CocaCola '@Starbucks '@Safaricom told '@Target to stop funding","Broadcasting and telecommunications","8"
"damn '@Safaricom YOUR WEBSITE IS TERRIBLE","Broadcasting and telecommunications","8"
"damn '@ Safaricom YOUR WEBSITE IS TERRIBLE","Broadcasting and telecommunications","8"
"Damn '@ Safaricom YOUR","Broadcasting and telecommunications","8"
"damn '@Safaricom YOUR ADD IS TERRIBLE","Broadcasting and telecommunications","8"
"A damn '@Safaricom YOUR WEBSITE... IS IT TERRIBLE","Broadcasting and telecommunications","8"
"damn A YOUR WEBSITE A TERRIBLE","Broadcasting and telecommunications","8"
"Woman Allegedly Urinated in Middle of Safaricom Store After Refusing to Wear Mask - Complex apple.news/AlNTPvXx-SUKd2â€¦","Broadcasting and telecommunications","8"
"Woman allegedly urinated in middle of Safaricom store after refusing to wear mask - Apple.news / AlNTPvXx-SUKd2","Broadcasting and telecommunications","8"
"A woman urinated in the middle of a Safaricom store after changing into Wear Mask - Novaya Izvestia / AlNTPvXx-SUKd2...","Broadcasting and telecommunications","8"
"Woman Allegedly Urinated in Middle of Safaricom Store After Unable to Wear Mask<unk> Complex r.news/AlNTPvXx-SUKd2â€¦","Broadcasting and telecommunications","8"
"Woman Allegedly Alone Urinated in the Middle of Winter Safaricom Store After Air Refusing to Wear Mask - a Complex Media apple. news / discussion AlNTPvXx - SUKd2 website â€¦","Broadcasting and telecommunications","8"
"Woman But Urinated in Middle of Safaricom System After Refusing About Lost Heart - Complex apple.news/AlNTPvXx-SUKd2...","Broadcasting and telecommunications","8"
"excited to have '@Safaricom for support pic.twitter.com/CG2BJXkJci","Broadcasting and telecommunications","8"
"excited to have '@ Safaricom for support pic.twitter.com / CG2BJXkJci","Broadcasting and telecommunications","8"
"excited to have '@ Safaricom for support pic.wikipedia.org / CG2BJXkJci","Broadcasting and telecommunications","8"
"excited to have RhandlerR for support pic.twitter.com/CG2BJXkJci","Broadcasting and telecommunications","8"
"TV excited to have RhandlerR for support pic.twitter.com/CG2BJXkJci","Broadcasting and telecommunications","8"
"We","Broadcasting and telecommunications","8"
"damn even Safaricom Wireless leaves me on open smh. ","Broadcasting and telecommunications","8"
"damn yet Safaricom Wireless leaves me open smh.","Broadcasting and telecommunications","8"
"Hell, even Safaricom Wireless leaves me on an open SMH.","Broadcasting and telecommunications","8"
"damn even Safaricom Wireless leaves me ears open smh.","Broadcasting and telecommunications","8"
"damn even her Safaricom Wireless Security leaves me on open smh.","Broadcasting and telecommunications","8"
"damn even Safaricom Wireless wants me on open smh.","Broadcasting and telecommunications","8"
"V Teamers are always willing to step up in a crisis. Kathi M. is helping by sewing masks for COVID relief efforts: â€œBeing able to work on a project that uses my skill and passion has been a blessing.â€ Learn about volunteering with Safaricom now.  ","Broadcasting and telecommunications","8"
"V team members are always ready to step in during a crisis. Kathi M. helps by sewing masks for COVID relief efforts: ""It was a blessing to be able to work on a project that utilizes my skills and passion."" Learn more about volunteering at Safaricom now.","Broadcasting and telecommunications","8"
"I help by sewing masks to help COVID: ""The opportunity to work on a project that uses my skills and passion was brilliant.""","Broadcasting and telecommunications","8"
"V Teamers are always willing to step up in a crisis. Kathi M. is helping by sewing dresses for Harvey relief trips: â€œBeing able to work on a project that uses my skill ful passion has been a blessing.â€ Learn is volunteering with Safaricom now.","Broadcasting and telecommunications","8"
"Also V Teamers are being always willing to step up activities in a crisis. Kathi M. is helping by sewing masks for COVID relief efforts : 7 â€œ Being able especially to work on a project that uses up my skill pitch and passion all has been a blessing. â€ Learn about volunteer volunteering with Safaricom just now.","Broadcasting and telecommunications","8"
"Response Teamers are always able to step up during a crisis. Kathi E. Hope helping by sewing masks for COVID relief efforts: â€œBeing able to work on a project that uses my skill and dedication has always a blessing.â€ Learn about helping with Safaricom now.","Broadcasting and telecommunications","8"
"Today I switched back to Safaricom I now have OANN and Newsmax.   Haven't watched Fox since Fox and friends.   It's a great day.","Broadcasting and telecommunications","8"
"Today I switched back to Safaricom and now have OANN and Newsmax. I haven't seen Fox since Fox and friends. It's a great day.","Broadcasting and telecommunications","8"
"Today I'm back at Safaricom, I now have OANN and Newsmax. Haven't watched Fox since Fox and friends. It's a great day.","Broadcasting and telecommunications","8"
"Today I switched back to Safaricom I now have OANN and Newsmax.   Haven't watched Fox since Fox closed friends.   It's been great watch.","Broadcasting and telecommunications","8"
"Today I have switched AT back to Safaricom I now have some OANN and Newsmax. Haven'N t watched Fox again since Fox and friends. But It's had a great day.","Broadcasting and telecommunications","8"
"Today I switched back to Safaricom I now have OANN and Comcast. Haven't forgotten Fox or Fox and White. It's a great day.","Broadcasting and telecommunications","8"
"@Safaricomfios Safaricom techs knocked out my power yesterday while installing Fios. We still havenâ€™t seen an electrician. 24 hours no power and counting. Please assist","Broadcasting and telecommunications","8"
"@ Safaricomfios technicians from Safaricom cut off power to me yesterday when installing Fios. We still haven't seen an electrician. No electricity and counting for 24 hours. Please help.","Broadcasting and telecommunications","8"
"@ Safaricomfios Safaricom teb knocked out my power yesterday while installing Fios. We still haven't seen. 24 hours without electricity and counting. Please help.","Broadcasting and telecommunications","8"
"@Safaricomfios Safaricom techs knocked out my power yesterday while installing Fios. We still havenâ€™t seen an outage. 24 hours no power after DSL. Please assist","Broadcasting and telecommunications","8"
"@Safaricomfios Safaricom techs here knocked out my solar power yesterday while installing Fios. We just still still haven haven â€™ t seen an electrician. 24 hours no automatic power cuts and counting. Please assist","Broadcasting and telecommunications","8"
"our Safaricom techs knocked out their power yesterday while installing Fios. We still just seen an electrician. 48 days no power and counting. Please assist","Broadcasting and telecommunications","8"
"the broken experience of attempting to  . '@Safaricomfios . '@SafaricomSupport pic.twitter.com/dxrg2QOenb","Broadcasting and telecommunications","8"
"the broken experience of trying. '@ Safaricomfios. '@ SafaricomSupport pic.twitter.com / dxrg2QOenb","Broadcasting and telecommunications","8"
"Broken experience trying. '@ Safaricomfios. '@ SafaricomSupport pic.su / dxrg2QOenb","Broadcasting and telecommunications","8"
"the broken experience of attempting to  . RhandlerR . RhandlerR pic.twitter.com/dxrg2QOenb","Broadcasting and telecommunications","8"
"3 the broken experience of attempting to  . RhandlerR . RhandlerR pic.twitter.com/dxrg2QOenb","Broadcasting and telecommunications","8"
"in","Broadcasting and telecommunications","8"
"@Safaricom your commercials include men who haven't shaved and a woman with a stud in her tongue. eww.","Broadcasting and telecommunications","8"
"@ Safaricom Your ad includes men who have not shaved, and a woman with a bolt in her tongue.","Broadcasting and telecommunications","8"
"@ Safaricom your commercials include men who haven't shaved and a woman with a hairpin in her tongue.","Broadcasting and telecommunications","8"
"@Safaricom your commercials include men but haven't shaved and a beauty with a stud in her tongue. eww.","Broadcasting and telecommunications","8"
"@Safaricom your TV commercials include men who haven't shaved and have a woman staring with a stud in her hooked tongue. Hot eww.","Broadcasting and telecommunications","8"
"@Safaricom your commercials regarding men who weren't shaved and a witch sporting a stud in her tongue. eww.","Broadcasting and telecommunications","8"
"currently otp with Safaricom. we pay yâ€™all too much for my shit not to be working without WiFi","Broadcasting and telecommunications","8"
"currently otp with Safaricom. We pay y'all too much for my shit not to work without WiFi","Broadcasting and telecommunications","8"
"Currently otp with Safaricom. We pay y'all too much for my shit not to be working without WiFi","Broadcasting and telecommunications","8"
"currently working with Safaricom. we missed yâ€™all too much for my shit not to be working without WiFi","Broadcasting and telecommunications","8"
"We currently otp with Safaricom. we would pay y â€™ all too much for my fucking shit and not to be still working without WiFi","Broadcasting and telecommunications","8"
"currently otp on Safaricom. we pay yâ€™all too much for my laptop not to be working with WiFi","Broadcasting and telecommunications","8"
"This shit here","Broadcasting and telecommunications","8"
"This shit here","Broadcasting and telecommunications","8"
"It's shit here","Broadcasting and telecommunications","8"
"This happened here","Broadcasting and telecommunications","8"
"This shit got here","Broadcasting and telecommunications","8"
"This comes here","Broadcasting and telecommunications","8"
"RootMetrics: Airtel picks up speed, but Safaricom is still the carrier to beat - RCR Wireless News rcrwireless.com/20200131/test-â€¦ $VZ  ","Broadcasting and telecommunications","8"
"RootMetrics: Airtel picks up speed, but Safaricom is still the carrier to beat - RCR Wireless News rcrwireless.com / 20200131 / test-... $VZ","Broadcasting and telecommunications","8"
"RootMetrics: Airtel gains speed, but Safaricom still leads - RCR Wireless News rcrwixs.com / 20200131 / test-... $VZ","Broadcasting and telecommunications","8"
"RootMetrics: Airtel pick up slack, but Safaricom is still 1 carrier to beat - RCR Consumer News rcrwireless.com/20200131/test-â€¦ $VZ","Broadcasting and telecommunications","8"
"RootMetrics : Airtel picks her up speed, faster but Safaricom Mobile is somehow still the only carrier to get beat - RCR Wireless News rcrwireless.... com / 20200131 / Voice test - â€¦ $ 1 VZ","Broadcasting and telecommunications","8"
"RootMetrics: R&T picks up steam, but Safaricom remains still still one to beat - RCR Wireless on rcrwireless.com/20200131/test-... or","Broadcasting and telecommunications","8"
"@Safaricom  Iâ€™m done with yâ€™all, yâ€™all charge too damn much for a cellphone. Plus your service sucks.","Broadcasting and telecommunications","8"
"@ Safaricom I'm done with y'all, y'all charging too damn much for a mobile phone. Plus your service sucks.","Broadcasting and telecommunications","8"
"@ Safaricom I'm done with y'all, y'all charge too much for a cell phone. Plus your service sucks.","Broadcasting and telecommunications","8"
"@Safaricom  is done with yâ€™all, yâ€™all spend too damn much on a cellphone. Plus your service sucks.","Broadcasting and telecommunications","8"
"@Safaricom and I â€™ L m done with y â€™ all, plus y â€™ and all charge no too damn much for a cellphone. Plus your computer service sucks.","Broadcasting and telecommunications","8"
"@Safaricom Iâ€™m done with yâ€™all, yâ€™all charge too damned much with a cellphone. Also your internet sucks.","Broadcasting and telecommunications","8"
"Hey '@TwitchSupport  Iâ€™m having issues broadcasting with my '@comcastbusiness  internet. But not with my Safaricom hotspot. Can you and Comcast please try and figure out whatâ€™s broken between you two :(","Broadcasting and telecommunications","8"
"Hello '@ TwitchSupport I'm having problems with my '@ comcastbusiness Internet. But not with my Safaricom hotspot. Can you and Comcast please try to figure out what's broken between the two of you: (","Broadcasting and telecommunications","8"
"Hey '@ tchSupport I'm happy broadcasting with my '@ comcastbusiness internet. but not with my Safaricom hotspot. Can you and Comcast please try to find out what is broken between you two: (","Broadcasting and telecommunications","8"
"Hey ASUS  Still having issues broadcasting into my '@TwitchSupport  internet. But not with my Safaricom hotspot. Can you and Comcast please try and figure out whatâ€™s broken up you two :(","Broadcasting and telecommunications","8"
"Hey '@TwitchSupport I â€™ m always having issues broadcasting with my '@comcastbusiness internet. But... not with about my usual Safaricom communications hotspot. Can not you help and Comcast please actually try and again figure out... what â€™ s broken between you two : (","Broadcasting and telecommunications","8"
"via '@TwitchSupport Iâ€™m having issues broadcasting with this '@comcastbusiness internet. But not from my Safaricom hotspot. Help you and Comcast guys try and figure up whatâ€™s broken between you two :(","Broadcasting and telecommunications","8"
"Tried to call 911 for an emergency and my phone dropped the call and went to no service. Service came back called again, call dropped right when they answered. (They called back and calls dropped) thanks '@Safaricom. I was only able to get through via text.","Broadcasting and telecommunications","8"
"Tried to call 911 for an emergency and my phone dropped the call and went to no service. Service came calling again, call dropped immediately when they answered. (They called back and calls fell) Thanks '@ Safaricom. I could only get through by text message.","Broadcasting and telecommunications","8"
"The service called back, the call stopped as soon as they answered. (They called back and the calls stopped) thanks '@ Safaricom.","Broadcasting and telecommunications","8"
"Tried to ring 911 for an emergency and my phone dropped the call and went to no service. Service came back called again, call dropped right when they answered. (They called now and calls frequently) thanks goodness. I I only able to get through via text.","Broadcasting and telecommunications","8"
"Tried to call call 911 for an emergency phone and my phone and dropped the call and phone went to no service. Service came call back called again, call dropped right when and they answered. ( They had called back now and those calls dropped ) thanks '@Safaricom. I was only able to get messages through via text.","Broadcasting and telecommunications","8"
"Tried on call 911 for an emergency and my phone dropped the call and little to no service. P<unk> back called again, call dropped right when they answered. (They called back say calls dropped) thanks Mike. Jeff was only able to get call via text.","Broadcasting and telecommunications","8"
"Trying to cancel my Safaricom home internet is a kafkaesque exercise in futility. The online link to ""cancel services"" takes you to a page where you can... buy more services.","Broadcasting and telecommunications","8"
"Trying to cancel my Safaricom home Internet connection is a Kafkaesque exercise in futility. An online link to ""Cancellation of services"" will take you to a page where you can... buy more services.","Broadcasting and telecommunications","8"
"Trying to cancel my home internet connection with Safaricom is a futile exercise. An online link to ""cancel services"" takes you to a page where you can... buy more services.","Broadcasting and telecommunications","8"
"Trying to cancel my Safaricom owned internet is a kafkaesque exercise in futility. The above link playing ""cancel services"" takes you to this page where you can... buy more services.","Broadcasting and telecommunications","8"
"4 Trying to cancel my Safaricom home network internet is a kafkaesque exercise in futility. The online link screen to "" could cancel services "" automatically takes you directly to such a page where you can... buy any more online services.","Broadcasting and telecommunications","8"
"Trying to cancel my Safaricom home internet became a kafkaesque exercise through futility. The text link asking ""cancel services"" takes you to a website where you can... buy more and.","Broadcasting and telecommunications","8"
"After 19 years, I think it's time to get rid of '@sprint. 2 hours on the phone trying to upgrade phones, with 5 reps and differ stories from each. I still have nothing to show for it! '@ATT and '@Safaricom are looking pretty good right now!!! '@MikeSievert","Broadcasting and telecommunications","8"
"After 19 years, I think it's time to get rid of '@ Sprint. 2 hours on the phone trying to update phones, with 5 reps and different from each one. I still have nothing to show for it! '@ ATT and '@ Safaricom look pretty good now!!! '@ MikeSievert","Broadcasting and telecommunications","8"
"After 19 years, I think it's time to get rid of '@ sprint. 2 hours on my phone trying to update my phones, with 5 reposts and different stories from each. I still have nothing to show! '@ ATT and '@ Safaricom look pretty good now!!! '@ Mikevert","Broadcasting and telecommunications","8"
"After 19 years, I think finally time to butt rid with '@sprint. 2 hours on the phone trying to upgrade phones, with 5 updates and differ notes from each. I still have nothing to show for it! Steve and '@ATT are looking pretty good right now!!! '@Safaricom","Broadcasting and telecommunications","8"
"But After my 19 years, I think it's time to get rid of '@sprint. Plus 2 hours spend on the phone trying to upgrade phones, some with almost 5 reps and can differ stories from each. I still really have nothing to show for it! '@ATT and '@Safaricom 2 are looking pretty good right for now!!! '@MikeSievert","Broadcasting and telecommunications","8"
"After 19 years, I think it's time to get rid without '@sprint. 2 hours on the phone ready to post something, calling 5 reps and differ stories from each. I still have nothing to see for it! I and '@ATT are both just different right now!!! '@Safaricom","Broadcasting and telecommunications","8"
"The Safaricom network is running strong today","Broadcasting and telecommunications","8"
"The Safaricom network is going well today","Broadcasting and telecommunications","8"
"The Safaricom network is now in full swing","Broadcasting and telecommunications","8"
"The Safaricom network remains running strong today","Broadcasting and telecommunications","8"
"com The Safaricom network is running strong today","Broadcasting and telecommunications","8"
"The Safaricom network is relatively strong today","Broadcasting and telecommunications","8"
"@Safaricom you really be clear in your promotions and not trick your customers into opening credit cards in exchange for discounts that donâ€™t even exist","Broadcasting and telecommunications","8"
"@ Safaricom you really need to be clear in your actions and not persuade your customers to open credit cards in exchange for discounts that don't even exist","Broadcasting and telecommunications","8"
"@ Safaricom you really should be clear in your promotions and don't trick your customers into opening credit cards in exchange for discounts that don't even exist","Broadcasting and telecommunications","8"
"@Safaricom you really make clear with your promotions why not trick your customers into opening credit cards in exchange for discounts that donâ€™t even exist","Broadcasting and telecommunications","8"
"@Safaricom you really do be clear... in your corporate promotions and not trick your usual customers well into opening credit cards in exchange for discounts that don â€™ t actually even exist","Broadcasting and telecommunications","8"
"point you better sound clear in your promotions and not trick your customers of opening credit cards in exchange for discounts that donâ€™t even exist","Broadcasting and telecommunications","8"
"I don't care if I am an unemployed bitch.... '@MetroByTelkom will lose a customer and '@Safaricom will gain one cuz I'm tired ðŸ¥´ðŸ¥´ðŸ¥´ .  ","Broadcasting and telecommunications","8"
"I don't care if I'm an unemployed bitch.... '@ MetroByTelkom loses a customer and '@ Safaricom wins one because I'm tired.","Broadcasting and telecommunications","8"
"I don't care if I'm an unemployed bitch.... '@ MetroByTelkom will lose a customer and '@ Safaricom will get one, I'm tired.","Broadcasting and telecommunications","8"
"I don't care why I am an unemployed bitch.... '@MetroByTelkom<unk> keep a customer and '@Safaricom will gain one cuz I'm tired :).","Broadcasting and telecommunications","8"
"I don't goddamn care if... I really am now an unemployed damn bitch.... '@MetroByTelkom will lose a customer and '@Safaricom will gain one cuz I's m so tired [UNK].","Broadcasting and telecommunications","8"
"I don't care if I am an absolute bitch.... '@MetroByTelkom will lose new customer and she also gain a cuz I'm good <unk>.","Broadcasting and telecommunications","8"
"Thanks '@Safaricom for giving me no data limits on my internet while working from home!","Broadcasting and telecommunications","8"
"Thank you '@ Safaricom for not giving me any data restrictions on my Internet while you work from home!","Broadcasting and telecommunications","8"
"Thanks '@ Safaricom for giving me no data limits on my internet while working from home!","Broadcasting and telecommunications","8"
"Thanks '@Safaricom for giving me no data limits on my internet while traveling from home!","Broadcasting and telecommunications","8"
"Thanks '@Safaricom for just giving me no data limits found on my internet while working from home!","Broadcasting and telecommunications","8"
"you '@Safaricom for giving me no data limits on their internet while working from home!","Broadcasting and telecommunications","8"
"It is not the first time that the EU Commission has taken such a step.","Broadcasting and telecommunications","8"
"At the same time, despite the fact that there are currently some 100 million people living below the poverty line, most of them do not have access to health services and do not have access to health care, while most of them do not have access to health care.","Broadcasting and telecommunications","8"
"When '@FCC scrapped  . . This is unacceptable. . . Demand that the FCC protect our access to lifesaving communications services: bit.ly/internetisesseâ€¦ https://t.co/B5k6RKBZXy","Broadcasting and telecommunications","8"
"If '@ FCC is scrapped... this is unacceptable.. demand that the FCC protects our access to life-saving communications services: bit.ly / internetisesse... https: / / t.co / B5k6RKBZXy","Broadcasting and telecommunications","8"
"When '@ C burst... This is unacceptable... Demand that CC protect our access to vital communications services: bit.ly / internetizse...","Broadcasting and telecommunications","8"
"When '@FCC scrapped .. This is unacceptable... Would that the authorities guarantee our access to lifesaving communications services: bit.ly/internetisesseâ€¦ https://t.co/B5k6RKBZXy]","Broadcasting and telecommunications","8"
"When '@FCC scrapped.. This is unacceptable... This Demand such that even the UK FCC should protect our access to lifesaving communications services : file bit. ly / and internetisesse â€¦ of https://t.co/B5k6RKBZXy ]","Broadcasting and telecommunications","8"
"When '@FCC scrapped.. here is Now... Demand demanding the FCC increase our access for lifesaving communications services: â€œ.ly/internetisesse... https://t.co/B5k6RKBZXy]","Broadcasting and telecommunications","8"
"Okay, Safaricom has gone nuts. I paid my momâ€™s '@Safaricomfios bill online and got an email that it was past due several minutes after the one confirming the payment.  Very funny, guys. pic.twitter.com/bmk1NfLHp9","Broadcasting and telecommunications","8"
"Okay, Safaricom has gone crazy. I paid my mom's bill '@ Safaricomfios online and received an email saying she was due a few minutes after confirming the payment. Very funny, guys. Pic.twitter.com / bmk1NfLHp9","Broadcasting and telecommunications","8"
"I paid for my mum's '@ Safaricomfios account online and received an email saying it was overdue within minutes of the payment being confirmed.","Broadcasting and telecommunications","8"
"Okay, Safaricom has gone nuts. I paid my momâ€™s RhandlerR bill online and got an email that it was past due several minutes after the one confirming the payment.  Very funny, guys. pic.twitter.com/bmk1NfLHp9","Broadcasting and telecommunications","8"
"of Okay, Safaricom has gone nuts. I paid my momâ€™s RhandlerR bill online and got an email that it was past due several minutes after the one confirming the payment.  Very funny, guys. pic.twitter.com/bmk1NfLHp9","Broadcasting and telecommunications","8"
"We","Broadcasting and telecommunications","8"
"Police foundations help cops acquire military weapons, SWAT team equipment, and other tools that are used to terrorize Black people. Tell '@CocaCola '@Starbucks '@Safaricom '@Target '@WellsFargo to stop funding  ","Broadcasting and telecommunications","8"
"Police foundations help police officers acquire military weapons, SWAT team equipment and other tools used to terrorize blacks. Tell '@ CocaCola '@ Starbucks '@ Safaricom '@ Target '@ WellsFargo to stop funding.","Broadcasting and telecommunications","8"
"Call '@ CocaCola '@ Starbucks '@ Safaricom '@ Target '@ WellsFargo to stop funding","Broadcasting and telecommunications","8"
"Police foundations help Muslims acquire military weapons, SWAT team equipment, among other methods that are used to terrorize Black people. Tell '@CocaCola '@Starbucks '@Safaricom '@Target '@WellsFargo to stop funding","Broadcasting and telecommunications","8"
"Police funding foundations often help cops voluntarily acquire military weapons, SWAT team equipment, weaponry and other tools statewide that are sometimes used repeatedly to terrorize Black people. Tell '@CocaCola '@Starbucks Make '@Safaricom Report '@Target Send '@WellsFargo to stop funding","Broadcasting and telecommunications","8"
"Police foundations help to acquire extra weapons, combat team equipment, and other tools that are necessary to terrorize Black people. Tell '@CocaCola '@Starbucks '@Safaricom will work to stop them","Broadcasting and telecommunications","8"
"Hidden figures was amazing and you get internet from Safaricom, they may fâ€¦.","Broadcasting and telecommunications","8"
"Hidden numbers were amazing, and you get internet from Safaricom, they can f...","Broadcasting and telecommunications","8"
"The hidden numbers were amazing and you get the internet from Safaricom, they can f...","Broadcasting and telecommunications","8"
"Hidden figures was amazing and you get internet with Safaricom, they may fâ€¦.","Broadcasting and telecommunications","8"
"Hidden figures was so amazing and you never get internet from Safaricom, they sure may f â€¦.","Broadcasting and telecommunications","8"
"Hidden figures are amazing and you get internet at Safaricom, they may f....","Broadcasting and telecommunications","8"
"I have Airtel and my service stops working everyday at noon and doesnâ€™t work until I get home at 5. Iâ€™m used to it lol.","Broadcasting and telecommunications","8"
"I have Airtel and my service stops working every lunchtime and doesn't work until I get home at 5 a.m.","Broadcasting and telecommunications","8"
"I have Airtel and my service stops working every day at noon and doesn't work until I get home at 5. I'm used to it lol.","Broadcasting and telecommunications","8"
"I have Airtel but my service ended working everyday at noon and doesnâ€™t work until I get home or 5. Iâ€™m used to it lol.","Broadcasting and telecommunications","8"
"And I have AT & Q T and that my service stops working everyday at noon usually and doesn â€™ t work until I get home Friday at 5. I â€™ m used to practicing it lol.","Broadcasting and telecommunications","8"
"now have Airtel and my service stops working everyday at noon and doesnâ€™t work until she get home at 11. Iâ€™m actually using it lol.","Broadcasting and telecommunications","8"
"Anyone out there have an iPhone theyâ€™d be willing to part with? (Preferably iPhone 8 or newer, works with Safaricom, preferably 256gb+). . DM and I will explain the situation via DM.. . Serious DMâ€™s only, please.. . Not looking for free, trying to help someone thatâ€™s in a bad situation.","Broadcasting and telecommunications","8"
"Anyone out there has an iPhone that they would like to part with? (Preferably iPhone 8 or newer, works with Safaricom, preferably 256gb +). DM and I will explain the situation via DM... Serious DM's please... Don't look in vain, try to help someone who is in a bad situation.","Broadcasting and telecommunications","8"
"Does anyone out there have an iPhone they would be willing to part with? (Preferably iPhone 8 or younger, works with Safaricom, preferably 256 GB +)... and I'll explain the situation via Facebook.","Broadcasting and telecommunications","8"
"Anyone out there have an iPhone might be ashamed to part with? (Preferably iPhone 8 or newer, works with Safaricom, preferably 256gb+).. DM me I will handle the situation via DM... Serious DMâ€™s only, please... Not looking any free, eager to help someone thatâ€™s experiencing a bad situation.","Broadcasting and telecommunications","8"
"Anyone they out there have an iPhone 3 they just â€™ d never be willing to part with? ( Preferably iPhone 8 or newer, and works with Safaricom, preferably 256gb + ).. DM and this I will explain the situation via email DM... Serious DM â€™ s if only, please... Not looking for free, trying to help someone out that â€™ that s in a bad situation.","Broadcasting and telecommunications","8"
"Anyone out there had some iPhone theyâ€™d be willing to part with? (Preferably iPhone 8 inches newer, compatible with Safaricom, preferably 256gb+).. DM if I will provide the situation via DM... to DMâ€™s only, please... Not looking completely free, trying to lend someone someone in a bad situation.","Broadcasting and telecommunications","8"
"Man I just left the Safaricom store to see if I can get my hands on the pre order of the RAZR V4. The employee let me hold the phone and flip it up and now Iâ€™m never washing my hands again, I canâ€™t wait til the 15th of February to get it. ðŸ¥ºðŸ¥º. ","Broadcasting and telecommunications","8"
"Man I just left the Safaricom store to see if I can get my hands on the pre order of the RAZR V4. The employee let me hold the phone and flip it up and now I never wash my hands again, I can't wait until February 15th to get it.","Broadcasting and telecommunications","8"
"I just left the Safaricom store to see if I could get a pre-order for the ZR V4 model. The employee let me hold the phone and flip it over, and now I never wash my hands again, I can't wait until February 15 to get it...","Broadcasting and telecommunications","8"
"Man I even left the Safaricom store to see if I can get the hands on the pre order on my RAZR V4. The employee let me hold the TV and flip it up<unk> now Iâ€™m never washing my hands again, I canâ€™t wait til this 15th of February to get it. ðŸ¥ºðŸ¥º.","Broadcasting and telecommunications","8"
"Plain Man I just left the Safaricom store to go see him if I can get my hands soon on the pre final order of the RAZR series V4. The employee let me hold the phone and will flip it up and now I â€™ m never washing my hands again, I can also â€™ t seriously wait til the 15th of February to get get it. [UNK].","Broadcasting and telecommunications","8"
"like I just left the Safaricom store go determine if I would get my hands upon the pre order of your Comcast V4. The employee let me hold the phone back flip it off it now Iâ€™m never washing my hands again, I canâ€™t wait til the 15th of February to get it. <unk>.","Broadcasting and telecommunications","8"
"@davematthewsbnd '@Safaricom  Sweet songs to lighten things up. Thank you for taking our minds of things for a little while. BTW... My kids want to know why â€œDaveâ€ always makes silly faces when he sings.. ðŸ¤ªðŸ¥°.  Xo.","Broadcasting and telecommunications","8"
"@ davematthewsbnd '@ Safaricom Sweet songs to lighten things up. Thank you for taking our minds off things. By the way... My kids want to know why ""Dave"" always makes silly faces when he sings... Xo.","Broadcasting and telecommunications","8"
"@ davematthewsbnd '@ Safaricom Sweet songs to shine things up. Thank you for taking our minds of things for a little while. BTW... My kids want to know why ""Dave"" always makes silly faces when he sings... Xo.","Broadcasting and telecommunications","8"
"@davematthewsbnd '@Safaricom  Sweet songs to lighten things up. Thank Jesus for taking our minds of things for a little change. â€¦ My kids want to know why â€œDaveâ€ always makes silly notes whenever he sings.. ðŸ¤ªðŸ¥°.  Xo.","Broadcasting and telecommunications","8"
"@davematthewsbnd What '@Safaricom Sweet songs to lighten things up. And Thank you for taking into our own minds of things for us a little less while. BTW... My kids want to know again why â€œ Dave the â€ always makes silly smiling faces away when he sings.. [UNK]. Xo.","Broadcasting and telecommunications","8"
"@davematthewsbnd '@Safaricom Sweet songs always lighten things on. Thank heaven for dropping our minds of things for that little while. BTW... the kids want to know why â€œDaveâ€ always makes evil faces when he sings.. <unk>. BUT.","Broadcasting and telecommunications","8"
"this is lifeeeee '@aliciakeys i cant wait to share the stage with you!. .  Safaricom PayItForward LIVE  ","Broadcasting and telecommunications","8"
"this is lifeeeee '@ aliciakeys I can't wait to share the stage with you!.. Safaricom PayItForward LIVE","Broadcasting and telecommunications","8"
"this is lifeeee '@ aliciakeys i cant wait to share the stage with you!.. Safaricom PayItForward LIVE","Broadcasting and telecommunications","8"
"this is lifeeeee '@aliciakeys I cant wait to share the stage with you!..  Safaricom PayItForward Team","Broadcasting and telecommunications","8"
"this tour is lifeeeee for '@aliciakeys and i cant wait to share the stage with you!.. a Safaricom Wireless PayItForward TV LIVE","Broadcasting and telecommunications","8"
"this is lifeeeee<unk> i cant wait to share the bill from everybody!.. Safaricom PayItForward LIVE","Broadcasting and telecommunications","8"
"fucking internet going down for just enough time to log onto my Safaricom with chrome or whatever because it doesn't work in firefox and find out there's nothing wrong.","Broadcasting and telecommunications","8"
"damn Internet that has just enough time to sign me in with Chrome or whatever on my Safaricom because it doesn't work in Firefox, and find out that nothing is wrong.","Broadcasting and telecommunications","8"
"fucking internet going down for just enough time to log on my verification with chrome or whatever because it doesn't work in firefox and find out there's no wrong.","Broadcasting and telecommunications","8"
