id,tender-title,tender-ref_No,contract_amount,contract_code,contract_status,created_at,expected_completion_date,month,org_name,pin_number,supplier_name,tender_award_date,type,updated_at,year
2211,supply and delivery of promotional materials,NTZDC/QT/007/2018-19,"605,520.00",V1F8Q1PI,Ongoing,2018-10-01 17:00:19,2018-10-05,Sep,Nyayo Tea Zones Develop Corporation,P051201199X,faces promotions limited,2018-09-25,State Corporation,0 Days,2018
2212,provision of comprehensive group life insurance cover for the national...,Tender No. NPS/IG/001/2018-2020,"2,295,990,096.00",QDQU8OP3,Ongoing,2018-10-31 11:23:18,2020-09-30,Sep,Ministry of Interior and Co-ordination of National Government,P051141061H,pioneer assurance company limited,2018-09-25,State Department,1 Year,2018
2213,provision of comprehensive insurance cover,CDA 006/2018-2019,"124,085.00",YBMSXKMD,Ongoing,2018-12-04 14:30:30,2018-10-02,Sep,Coast Development Authority,P51300806K,takaful insurance  of  africa limited,2018-09-25,State Corporation,0 Days,2018
2214,printed open folders,KDB/G/100/3440,"255,000.00",TCL48RDG,Ongoing,2019-01-03 11:34:39,2018-10-26,Sep,Kenya Dairy Board,P051420268Y,gadaro enterprises limited,2018-09-25,State Corporation,0 Days,2018
2215,printing of kdb profile brochure printed in full colour,KDB/G/101/2492,"90,000.00",RACRJX1C,Ongoing,2019-01-03 12:29:24,2018-10-25,Sep,Kenya Dairy Board,A002506776G,lantana supplies,2018-09-25,State Corporation,0 Days,2018
2216,supply and delivery of drinking water,692831,445.00,TQZQRVAU,Ongoing,2018-11-07 10:29:31,2018-09-30,Sep,Commission of Administrative Justice - Office of the Ombudsman,P051565108D,skycorp technologies limited,2018-09-25,Commissions and Independent Offices,0 Days,2018
2217,provision of air ticket from geneva to nairobi & return,CAK/RFQ/146/2018-2019,"750,890.00",EULFRAXF,Ongoing,2018-10-07 22:07:04,2018-09-29,Sep,Competition Authority of Kenya,P051132264Q,african touch safaris limited,2018-09-24,State Corporation,0 Days,2018
2218,provision of day conference facilities for training & symposium,CAK/RFQ/148/2018-2019,"1,335,800.00",ZY1DETYB,Ongoing,2018-10-13 14:25:27,2018-09-28,Sep,Competition Authority of Kenya,P000607761D,sarova hotels limited,2018-09-24,State Corporation,0 Days,2018
2219,provision of conference facilities for breakfast meeting,CAK/RFQ/149/2018-2019,"82,500.00",UK5FTXE9,Ongoing,2018-10-13 14:28:10,2018-09-27,Sep,Competition Authority of Kenya,P000607761D,sarova hotels limited,2018-09-24,State Corporation,0 Days,2018
2220,"supply,delivery,installation and commissioning of extended work statio...",MTRH/T/3/2017-2018,"443,700.00",N03CZMG9,Ongoing,2018-11-27 9:49:46,1970-01-01,Sep,Moi Teaching and Referral Hostipal,P051171872V,trapoz constractors limited,2018-09-24,State Corporation,0 Days,2018
2221,proposal for oxygen piping in shoe4africa at moi teaching and referral...,TENDER NO. MTRH/RFP/3/2017-2018,"1,788,200.00",DQ5KLHXN,Ongoing,2018-11-27 11:26:41,1970-01-01,Sep,Moi Teaching and Referral Hostipal,P051310288Z,medquip limited,2018-09-24,State Corporation,0 Days,2018
2222,supply and delivery of foodtuff (meat),TENDER NO. MTRH/T/16/2018-2020,"39,500.00",IFRULGNL,Ongoing,2019-02-05 8:37:19,2019-02-18,Sep,Moi Teaching and Referral Hostipal,KRAELD0943522018,namina enterprises,2018-09-24,State Corporation,0 Days,2018
2223,supply and delivery of electricals and harware,TENDER NO. MTRH/T/15/2017-2018,"350,000.00",5KT1I4CK,Ongoing,2019-02-13 15:35:45,2019-02-26,Sep,Moi Teaching and Referral Hostipal,KRAELD0943522018,namina enterprises,2018-09-24,State Corporation,0 Days,2018
2224,construction of tula box culvert,KeRRA/011/039/47/2017-2018,"38,546,037.00",2VNLANCN,Ongoing,2019-01-09 11:40:18,2020-12-23,Sep,Kenya Rural Roads Authority,P051391098G,kaka petroleum co. limited,2018-09-24,State Corporation,1 Year,2018
2225,e-976 chanagande- migumomiri road,KeRRA/011/39/36/2017-2018,"11,623,676.00",Q15NQSKS,Ongoing,2019-01-10 15:18:56,2019-08-22,Sep,Kenya Rural Roads Authority,P051542587Z,lucframe enterprises limited,2018-09-24,State Corporation,4 Months,2018
2226,one way air ticket kis-nbo for 1 pax,NCA/RFQ/051/2018-2019,"17,145.00",96EGACRT,Ongoing,2018-11-20 9:53:04,2018-09-24,Sep,National Construction Authority,P051582967S,premier safaris (k) limited,2018-09-24,State Corporation,0 Days,2018
2227,return air ticket nbo-msa-nbo for 4 pax & nbo-kis-nbo for 3 pax,NCA/RFQ/050/2018-2019,"109,230.00",LCSY8KZ3,Ongoing,2018-11-20 10:50:13,2018-09-30,Sep,National Construction Authority,P051132264Q,african touch safaris limited,2018-09-24,State Corporation,0 Days,2018
2228,printing of meru strategic plan,NACC/004/2018-2019,"198,000.00",Z6EZOANM,Ongoing,2019-01-31 11:22:48,2018-09-28,Sep,NATIONAL AIDS CONTROL COUNCIL,A007734776M,marjoram ventures,2018-09-24,State Corporation,0 Days,2018
2229,supply and delivery of toners,ADC/2/2018/19,"27,000.00",TXC1MT3U,Ongoing,2018-11-29 13:00:01,2018-10-11,Sep,Agricultural Development Corporation,A004227334Z,genuin computers technology,2018-09-24,State Corporation,0 Days,2018
2230,supply and delivery of toners,ADC/2/2018/19,"154,400.00",FG21PEMK,Ongoing,2018-11-29 13:23:27,2018-10-11,Sep,Agricultural Development Corporation,P051418592S,shepol limited,2018-09-24,State Corporation,0 Days,2018
2231,supply and delivery of stationeries,ADC/3/2018/19,"30,098.00",SHBUJXJQ,Ongoing,2018-11-29 13:50:55,2018-10-11,Sep,Agricultural Development Corporation,P051344309U,digitech solutions limited,2018-09-24,State Corporation,0 Days,2018
2232,supply and delivery of printing works,Quotation No ADC 4/2018/19,"154,500.00",L2EGOXMO,Ongoing,2018-11-29 14:25:39,2018-11-02,Sep,Agricultural Development Corporation,P051458521F,columbus printing industries limited,2018-09-24,State Corporation,0 Days,2018
2233,supply and delivery of stationeries,ADC/3/2018/19,"19,900.00",0S2DS1G3,Ongoing,2018-11-29 14:37:43,2018-10-24,Sep,Agricultural Development Corporation,P051344309U,digitech solutions limited,2018-09-24,State Corporation,0 Days,2018
2234,supply and delivery of stationeries,ADC/3/2018/19,"39,800.00",8TQZH9V8,Ongoing,2018-11-29 14:43:14,2018-11-21,Sep,Agricultural Development Corporation,P051344309U,digitech solutions limited,2018-09-24,State Corporation,0 Days,2018
2235,supply and delivery of printing works,Quotation No ADC 4/2018/19,"19,000.00",O7GPOGCL,Ongoing,2018-11-29 15:01:15,2018-11-02,Sep,Agricultural Development Corporation,A002695866Z,angelema enterprises,2018-09-24,State Corporation,0 Days,2018
2236,service and repair of dental units,UNES/IGU/14/2018-2019,"64,960.00",ULTWL1IZ,Ongoing,2019-01-15 9:19:57,2018-11-07,Sep,University of Nairobi Enterprises and Services,P051106390A,dentmed kenya limited,2018-09-24,State Corporation,0 Days,2018
2237,supply of assorted stationery,PC/QUOT/007/2018-2019,"112,500.00",B9TG0P9Z,Ongoing,2018-09-28 15:30:03,2018-10-10,Sep,Privatization Commission,P051574456N,lafame productions limited,2018-09-24,State Corporation,0 Days,2018
2238,supply of assorted stationery,PC/QUOT/007/2018-2019,"111,250.00",IQYKXNC3,Ongoing,2018-09-28 16:10:08,2018-10-10,Sep,Privatization Commission,P051421131H,tree agama enterprise limited,2018-09-24,State Corporation,0 Days,2018
2239,supply and delivery of sugar and wheat flour,UOK/CAT/18/19/023,"135,000.00",IMPWAS4D,Ongoing,2018-10-07 12:42:04,2018-10-08,Sep,University of Kabianga,A009829341K,joelwings investments,2018-09-24,Public Universities,0 Days,2018
2240,procurement of perishables,UOK/CATERING/18/19/004,"11,600.00",QEHZN7D1,Ongoing,2018-10-14 14:37:35,2018-10-08,Sep,University of Kabianga,A009829341K,joelwings investments,2018-09-24,Public Universities,0 Days,2018
2241,procurement of beef,UOK/CATERING/18/19/008,"160,000.00",D2HZAICN,Ongoing,2018-10-14 14:52:16,2018-09-24,Sep,University of Kabianga,P051648353S,cherene enterprises,2018-09-24,Public Universities,0 Days,2018
2242,supply of training manuals,WEF/064/2017-2018-1,"291,000.00",NQ5FHWUL,Ongoing,2019-02-02 12:41:53,2018-10-24,Sep,Women Enterprise Fund,P051594460L,academia enterprise solutions limited,2018-09-24,State Corporation,0 Days,2018
2243,service and maintenance of printers for 3years lot 1,NCWSC/07/2018,"10,881,114.00",7KKAJKTO,Ongoing,2019-02-13 15:05:22,1970-01-01,Sep,Nairobi City Water & Sewerage Company LTD,P051099534I,mfi documents solutions limited,2018-09-24,Public Water Companies,0 Days,2018
2244,construction of 2no. ablution blocks in embakasi village and ruai mark...,NCWSC/06/2018..,"11,793,370.00",DZAJONZ4,Ongoing,2019-02-13 15:38:08,2020-01-21,Sep,Nairobi City Water & Sewerage Company LTD,P051546626K,desertfine construction limited,2018-09-24,Public Water Companies,9 Months,2018
2245,"supply, delivery and installation of 27no. uni-huts",NCWSC/09/2018,"5,807,345.00",FFSC5FHF,Ongoing,2019-02-14 11:18:50,2019-02-26,Sep,Nairobi City Water & Sewerage Company LTD,P051464238C,mmi international limited,2018-09-24,Public Water Companies,0 Days,2018
2246,vehicle maintenance,KRB/119/2018-19,"40,484.00",OOWWNPPX,Ongoing,2018-11-09 10:21:55,1970-01-01,Sep,Kenya Roads Board,P051126254X,toyota kenya limited,2018-09-21,State Corporation,0 Days,2018
2247,air ticket,KRB/318/2018-19,"36,150.00",JBU3ERCM,Ongoing,2018-11-26 8:53:51,2018-10-02,Sep,Kenya Roads Board,P051132264Q,african touch safaris limited,2018-09-21,State Corporation,0 Days,2018
2248,air ticket,KRB/319/2019-19,"96,125.00",EAKPRFLJ,Ongoing,2018-11-26 8:58:11,2018-10-02,Sep,Kenya Roads Board,P051132264Q,african touch safaris limited,2018-09-21,State Corporation,0 Days,2018
2249,air ticket,KRB/315/2018-19,"57,215.00",KXB3Y9HV,Ongoing,2018-11-26 9:48:25,2018-10-02,Sep,Kenya Roads Board,P051322417M,longrock tours & travel limited,2018-09-21,State Corporation,0 Days,2018
2250,air ticket,KRB/320/2018-19,"44,600.00",XUM0D2G5,Ongoing,2018-11-26 10:07:14,2018-10-02,Sep,Kenya Roads Board,P051132264Q,african touch safaris limited,2018-09-21,State Corporation,0 Days,2018
2251,air ticket,KRB/316/2018-19,"59,900.00",DCEOBLHH,Ongoing,2018-11-26 10:14:18,2018-10-02,Sep,Kenya Roads Board,P051449667X,attic tours and travel limited,2018-09-21,State Corporation,0 Days,2018
2252,conference facility,KRB/234/2018-19,"285,000.00",JXGVL2EC,Ongoing,2018-11-26 11:39:33,1970-01-01,Sep,Kenya Roads Board,P051164694H,anashipai resort and spa,2018-09-21,State Corporation,0 Days,2018
2253,conference facility,KRB/235/2018-19,"105,000.00",TF1PGQYJ,Ongoing,2018-11-26 11:44:36,2018-10-02,Sep,Kenya Roads Board,P051164694H,anashipai resort and spa,2018-09-21,State Corporation,0 Days,2018
2254,provision of upgrade of sage pastel software,IRA/020/2018-2019,"609,158.00",NDBOKGG9,Ongoing,2018-11-14 10:48:54,2018-10-01,Sep,Insurance Regulatory Authority,P051165874J,gravity solutions limited,2018-09-21,State Corporation,0 Days,2018
2255,supply & delivery of assorted office stationery,NCA/RFQ/26/2018-2019,"364,400.00",LJXTRRCA,Ongoing,2018-11-19 11:39:53,2018-10-25,Sep,National Construction Authority,P051583139G,balozi agencies,2018-09-21,State Corporation,0 Days,2018
2256,return air ticket nbo-eld-nbo for  1 pax & nbo-eld for 1 pax,NCA/RFQ/049/2018-2019,"27,250.00",I8AKMQPM,Ongoing,2018-11-19 12:51:05,2018-09-24,Sep,National Construction Authority,P051582967S,premier safaris (k) limited,2018-09-21,State Corporation,0 Days,2018
2257,provision of photography & videography services,NCA/RFQ/044/2018-2019,"121,800.00",Z1RLEL5U,Ongoing,2018-11-20 8:39:17,2018-10-23,Sep,National Construction Authority,P051536349N,pillar audio visual services limited,2018-09-21,State Corporation,0 Days,2018
2258,supply and delivery of a desktop computer,UOEM/QTN/124/2018-2019,"60,900.00",RMAUTXIN,Ongoing,2018-11-08 11:41:16,2018-12-09,Sep,University of Embu,P051438932K,vibrant solutions,2018-09-21,Public Universities,0 Days,2018
2259,procurement of construction of changamwe repooling sewer network,AWSB/AfDB/KTWSSP/W-09/2018,"204,483,295.00",8R5NRQL1,Ongoing,2018-11-14 13:45:41,1970-01-01,Sep,Athi Water Service Board,P000625079E,njuca consolidated company limited,2018-09-21,State Corporation,0 Days,2018
2260,provision of airtickets,RBA/EP/AIRTICKETS/613/24A/9/2018,"32,800.00",4IVRLV4U,Ongoing,2018-11-20 10:45:15,2018-10-08,Sep,Retirement Benefits Authority,P051187699W,globus tours and travel limited,2018-09-21,State Corporation,0 Days,2018
2261,supply of shirts and blouses in pure cotton with empowering dreams in...,HELB/RFQ/16/2018-2019,"308,000.00",JIZ8XAGI,Ongoing,2019-01-24 9:40:58,2018-10-10,Sep,Higher Education Loan Board,P051167080D,king's wear ltd,2018-09-21,State Corporation,0 Days,2018
2262,return air tickets to mombasa for claude mwaikwasi and peter mutava,HELB/RFQ/91/2018-2019,"36,500.00",TQR7IF,Active,2019-03-18 9:21:17,2018-10-20,Mar,Higher Education Loan Board,P051623272G,flying blue tours and travel limited,2018-09-21,State Corporation,0 Days,2019
2263,emergency works in nairobi for ngong view court in karen,KURA/RMLF/NBR/118/2018-2019,"16,582,675.00",4IFSCI64,Ongoing,2019-02-11 13:39:40,1970-01-01,Sep,Kenya Urban Roads Authority,P051457190O,roadys limited,2018-09-21,State Corporation,0 Days,2018
2264,spot improvement and routine maintenance works on the mwakingali road...,KeRRA/011/39/53/2017-2O18,"7,501,298.00",SG9DBZU1,Ongoing,2019-01-10 15:36:58,2019-08-22,Sep,Kenya Rural Roads Authority,P051422654A,geotko agencies limited,2018-09-20,State Corporation,4 Months,2018
2265,supply of electrical items,4500021383,"29,970.00",2JSBZHFB,Ongoing,2018-10-16 16:32:19,2018-10-12,Sep,Kenya Airport Authority,P051442846C,maua & company limited,2018-09-20,State Corporation,0 Days,2018
2266,return air ticket nbo-msa-nbo for 1 pax,NCA/RFQ/048/2018-2019,"14,700.00",XUSRHCYL,Ongoing,2018-11-20 9:11:01,2018-09-27,Sep,National Construction Authority,P051536637M,portman travel limited,2018-09-20,State Corporation,0 Days,2018
2267,supply and delivery of sport wears,AFC-HRD-18.30.3-Q013-09-2018,"154,835.00",WVLS05G9,Ongoing,2018-11-15 16:03:35,2018-10-01,Sep,Agricultural Finance Corporation,P000600884V,chemicals and school supplies limited,2018-09-20,State Corporation,0 Days,2018
2268,provision of air travel nbo/mbs/nbo,RFQ/Air Travel/September,"35,610.00",UY1TN0CS,Ongoing,2018-09-27 16:45:54,2018-09-21,Sep,ICDC,P051512607U,realedge africa ventures limited,2018-09-20,State Corporation,0 Days,2018
2269,procurement of toners,KEMSA-DP6-2018/2019,"165,578.00",WGCBN8TP,Ongoing,2018-10-24 11:14:14,2018-09-24,Sep,Kenya Medical Supplies Authority,P000597676Q,the copy cat limited,2018-09-20,State Corporation,0 Days,2018
2270,tender for hire of helicopter,GDC/ MD& CEO/DP/004/2018:2019,"861,000.00",34SLMV2U,Ongoing,2018-10-16 14:00:30,1970-01-01,Sep,Geothermal Development Company,P051459648T,pro flight limited,2018-09-20,State Corporation,0 Days,2018
2271,request for quotations for eldoret regional office vehicle tyres,CoDF/RFQ/Tyres/Sept 18-2018,"105,452.00",Q4BGUQEP,Ongoing,2018-10-15 13:28:17,2018-09-27,Sep,COMMODITIES FUND,P000594487J,sameer africa plc,2018-09-20,State Corporation,0 Days,2018
2272,provision of end to end and security of payment files from pmis to t24...,TNT/012/2018-2019,"5,642,000.00",RXFYUX8H,Ongoing,2019-01-31 13:20:55,1970-01-01,Sep,The National Treasury and Planning,P051352639A,raphseven limited,2018-09-20,Ministry,0 Days,2018
2273,"being for supply, delivery, installation and fixing vehicles tracking...",KMF/RFQ/20/2018-2019,"997,600.00",MHNALTVL,Ongoing,2019-01-24 14:17:59,2018-10-10,Sep,Kenya Marine and fisheries Research Institute,P051369211Y,twenty four seven gps tracking limited,2018-09-19,State Corporation,0 Days,2018
2274,provision of air ticket from paris to nairobi & return,CAK/RFQ/144/2018-2019,"728,450.00",26FKCCHC,Ongoing,2018-10-07 22:13:49,2018-09-29,Sep,Competition Authority of Kenya,P051582967S,premier safaris (k) limited,2018-09-19,State Corporation,0 Days,2018
2275,supply of polo shirts,KRB/252/2018/19,"107,100.00",DFE7PQRS,Ongoing,2018-12-22 23:35:48,2018-10-21,Sep,Kenya Roads Board,P051529998J,keystone  group  limited,2018-09-19,State Corporation,0 Days,2018
2276,design and printing of case file covers and statement booklets,IRA/039/2018-2019,"240,000.00",GOJLI0YF,Ongoing,2018-11-06 16:30:32,2018-10-15,Sep,Insurance Regulatory Authority,P051239191N,pinnacore kenya limited,2018-09-19,State Corporation,0 Days,2018
2277,supply installation and testing of hp 2tb 3g stat 7.2k hot plug,IRA/050/2018-2019,"78,439.00",VL2VYGGO,Ongoing,2018-11-14 10:36:50,1970-01-01,Sep,Insurance Regulatory Authority,P051461374A,osil limited,2018-09-19,State Corporation,0 Days,2018
2278,procurement of assorted stationery,ACA/001/2018-2019,"22,520.00",OLT72DDP,Ongoing,2019-01-29 15:36:01,2018-10-18,Sep,Anti-counterfeit Agency,P051533240V,comfortcare enterprises limited,2018-09-19,State Corporation,0 Days,2018
2279,procurement of assorted stationery,ACA/001/2018-2019,"89,678.00",ZXIPGAOD,Ongoing,2019-01-30 9:33:21,2018-10-18,Sep,Anti-counterfeit Agency,A004509160A,flocix enterprises,2018-09-19,State Corporation,0 Days,2018
2280,supply of maintenance items,KEWI/QTN/013/2018-2019,"150,280.00",VNWFZWDB,Ongoing,2018-10-18 15:34:10,2018-10-10,Sep,Kenya  Water Institute,P051533150Y,cleon ventures limited,2018-09-19,State Corporation,0 Days,2018
2281,supply of maintenance items,KEWI/QTN/013/2018-2019,"258,395.00",GCGGGVDM,Ongoing,2018-10-18 16:01:51,2018-10-05,Sep,Kenya  Water Institute,A001383850Q,samanto enterprises,2018-09-19,State Corporation,0 Days,2018
2282,printing and publications,kip/007/2018-19,"558,830.00",G6XD1QD5,Ongoing,2019-02-06 12:00:30,2018-10-03,Sep,Kenya Institute for Public Policy and Research and Analysis,A008999482E,cejocira enterprises,2018-09-19,State Corporation,0 Days,2018
2283,printing and publications,kip/007/2018-19,"249,500.00",HTVLEKKS,Ongoing,2019-02-06 12:13:42,2018-10-03,Sep,Kenya Institute for Public Policy and Research and Analysis,A003071728D,twin allan enterprises,2018-09-19,State Corporation,0 Days,2018
2284,provision of security service at icdc stand - nitf 2018,RFQ/ICDC/976/2018,"104,400.00",5S7HUAWI,Ongoing,2018-09-27 10:38:17,2018-10-11,Sep,ICDC,P051133569A,total security surveillance limited,2018-09-19,State Corporation,0 Days,2018
2285,supply and delivery of helmets and washing gloves,UNES/BSTORE/17/2018-2019,"7,946.00",ROS39JPL,Ongoing,2019-01-10 17:02:07,2018-10-09,Sep,University of Nairobi Enterprises and Services,P051383699T,safety smart (africa) limited,2018-09-19,State Corporation,0 Days,2018
2286,supply and delivery of assorted laptops for resale,UNES/BSTORE/25/2018-2019,"336,400.00",RH7FSUXR,Ongoing,2019-01-11 16:16:50,2018-10-01,Sep,University of Nairobi Enterprises and Services,P051620195G,dignity traders,2018-09-19,State Corporation,0 Days,2018
2287,supply and delivery of c.f.p branded lab coats,UNES/IGU/16/2018-2019,"14,790.00",GTLN48I5,Ongoing,2019-01-17 9:19:20,2018-10-31,Sep,University of Nairobi Enterprises and Services,P051335153B,hemco designs limited,2018-09-19,State Corporation,0 Days,2018
2288,"supply of pharmaceuticals(tropical preparations,ophthamologicals, disi...",KEMSA/OIT 11/2017-2019,"2,016,780.00",M73VWEX6,Ongoing,2018-11-22 11:14:48,2020-10-17,Sep,Kenya Medical Supplies Authority,P051158978T,impact chemicals limited,2018-09-19,State Corporation,1 Year,2018
2289,"supply of pharmaceuticals(tropical preparations,ophthamologicals, disi...",KEMSA/OIT 11/2017-2019,"12,771,912.00",ESS3FROQ,Ongoing,2018-11-22 15:39:44,2020-10-17,Sep,Kenya Medical Supplies Authority,P000604051M,biodeal laboratories limited,2018-09-19,State Corporation,1 Year,2018
2290,"supply of pharmaceuticals(tropical preparations,ophthamologicals, disi...",KEMSA/OIT 11/2017-2019,"6,957,709.00",NTXUHWND,Ongoing,2018-12-11 14:36:13,2020-10-17,Sep,Kenya Medical Supplies Authority,P051117972H,sai pharmaceuticals limited,2018-09-19,State Corporation,1 Year,2018
2291,"supply of pharmaceuticals(tropical preparations,ophthamologicals, disi...",KEMSA/OIT 11/2017-2019,"3,092,720.00",OFQCLX9X,Ongoing,2018-12-11 14:52:12,2020-10-17,Sep,Kenya Medical Supplies Authority,P000607974K,pan pharmaceuticals limited,2018-09-19,State Corporation,1 Year,2018
2292,"supply of pharmaceuticals(tropical preparations,ophthamologicals, disi...",KEMSA/OIT 11/2017-2019,"2,439,294.00",ULYSYBKT,Ongoing,2019-01-29 9:01:59,2020-10-17,Sep,Kenya Medical Supplies Authority,P000626483G,harley's limited,2018-09-19,State Corporation,1 Year,2018
2293,"supply of pharmaceuticals(tropical preparations,ophthamologicals, disi...",KEMSA/OIT 11/2017-2019,"11,344,219.00",9HXM5GEV,Ongoing,2019-01-29 9:25:00,2020-10-17,Sep,Kenya Medical Supplies Authority,P051407598V,njimia (k) limited,2018-09-19,State Corporation,1 Year,2018
2294,"supply of pharmaceuticals(tropical preparations,ophthamologicals, disi...",KEMSA/OIT 11/2017-2019,"11,384,438.00",GS9PTLLV,Ongoing,2019-01-29 9:53:17,2020-10-17,Sep,Kenya Medical Supplies Authority,P051133254Q,syner - chemie limited,2018-09-19,State Corporation,1 Year,2018
2295,"supply of pharmaceuticals(tropical preparations,ophthamologicals, disi...",KEMSA/OIT 11/2017-2019,"6,752,350.00",VVF3CYAG,Ongoing,2019-02-08 12:04:06,2020-10-17,Sep,Kenya Medical Supplies Authority,P051380340P,reddys pharma limited,2018-09-19,State Corporation,1 Year,2018
2296,provision of conference & accommodation facilities,RBA/RFQ/CONFACC/613/769/2018,"317,600.00",QPDETG8W,Ongoing,2018-10-25 16:41:04,2018-10-04,Sep,Retirement Benefits Authority,P051157847H,avc management company ltd,2018-09-19,State Corporation,0 Days,2018
2297,provision of airtickets,RBA/EP/AIRTICKETS/613/20A/9/2018,"47,900.00",LMTWNKGS,Ongoing,2018-11-20 10:26:03,2018-10-04,Sep,Retirement Benefits Authority,P051520647Z,fly beyond africa limited,2018-09-19,State Corporation,0 Days,2018
2298,provision of conference & accommodation facilities,RBA/RFQ/CONFACC/613/766/2018,"248,000.00",KNYIAKP4,Ongoing,2018-11-20 12:53:35,2018-10-04,Sep,Retirement Benefits Authority,P051415855K,eagle palace hotel limited,2018-09-19,State Corporation,0 Days,2018
2299,supply of helb branded file folders as per sample,HELB/RFQ/12/2018-2019,"425,000.00",WZJRUJVP,Ongoing,2019-03-15 15:15:24,2018-10-27,Sep,Higher Education Loan Board,A003850569D,finley  technologies,2018-09-19,State Corporation,0 Days,2018
2300,provision of data link services at the nairobi international trade fai...,KP4/9A/DT/NW/02/18-19,"46,400.00",OT1GM7AH,Ongoing,2018-10-08 9:38:28,2018-12-24,Sep,Kenya Power & Lighting Company,P051341947X,embarq limited,2018-09-19,State Corporation,0 Days,2018
2301,delivery of chest freezer,KSL/028/2018-2019,"78,800.00",70ZBRE,Active,2019-03-21 16:36:24,2018-10-02,Mar,Kenya School Of Law,A001626710M,jaware agencies,2018-09-18,State Corporation,0 Days,2019
2302,fabrication & balancing of dynamic fan impeller,18530019,"120,000.00",OSYVBNMC,Ongoing,2018-10-15 9:40:54,2018-10-18,Sep,The East African Portland Cement Company,P051134139Q,technosteel industries limited,2018-09-18,State Corporation,0 Days,2018
2303,supply of cartridge oil filter 600-211-1230,RFQ 17534735,"69,408.00",YCL7UAZO,Ongoing,2018-11-23 9:48:15,1970-01-01,Sep,The East African Portland Cement Company,A003462030C,betamek equipments,2018-09-18,State Corporation,0 Days,2018
2304,provision of air ticket from glasgow to nairobi & return,CAK/RFQ/143/2018-2019,"678,755.00",7NWB0GKA,Ongoing,2018-10-07 22:19:37,2018-09-29,Sep,Competition Authority of Kenya,P051582967S,premier safaris (k) limited,2018-09-18,State Corporation,0 Days,2018
2305,provision of conferenece facilities during scm dynamic group training...,KeNHA/RFQ/197/2018-19,"444,600.00",RPHEIX8K,Ongoing,2018-10-15 17:36:33,1970-01-01,Sep,Kenya National Highway Authority,P051318714z,maanzoni lodge limited,2018-09-18,State Corporation,0 Days,2018
2306,procurement of venue & full day conference facilities,AWSB/RFQ/HQ/24/2018-2019,"342,250.00",4UYRX8WO,Ongoing,2018-10-12 12:12:47,2018-10-19,Sep,Athi Water Service Board,P051164694H,anashipai resort and spa,2018-09-18,State Corporation,0 Days,2018
2307,provision of airtickets,RBA/EP/AIRTICKETS/613/19/9/2018,"578,685.00",OYIINKRR,Ongoing,2018-11-20 10:18:20,2018-10-03,Sep,Retirement Benefits Authority,P051132264Q,african touch safaris limited,2018-09-18,State Corporation,0 Days,2018
2308,supply and replacement of suspension ropes for electricity house and g...,KP6/5C/DP/212-18/19,"1,250,770.00",CRKIVA2K,Ongoing,2018-11-16 11:07:14,2020-10-23,Sep,Kenya Power & Lighting Company,P051460434S,elevonic lifts services limited,2018-09-18,State Corporation,1 Year,2018
2309,provision of insurance and brokerage services,KSC/T/INS/04 /2018/2019,"4,687,905.00",SB7YN6OS,Ongoing,2019-02-15 13:03:08,2019-09-30,Sep,Kenya Seed Company,P051149321V,four m insurance brokers ltd,2018-09-18,State Corporation,5 Months,2018
2310,provision of insurance and brokerage services,KSC/T/INS/04 /2018/2019,"421,134.00",E5XL3VFE,Ongoing,2019-02-15 14:17:49,2019-09-30,Sep,Kenya Seed Company,P051197285N,miran insurance brokers limited,2018-09-18,State Corporation,5 Months,2018
2311,provision of security of security guarding services,KSC/T/SGS/05/ 2018/2019,"33,867,600.00",ZSJMNEUP,Ongoing,2019-02-15 14:46:54,2019-09-30,Sep,Kenya Seed Company,P051116679J,lavington security guards limited,2018-09-18,State Corporation,5 Months,2018
2312,repair of hp laptop 360,AFA/RFQ/16/2018-19,"75,400.00",DDDVGNJA,Ongoing,2018-09-25 11:55:58,2018-09-30,Sep,Agriculture and Food Authority,P051548023F,mashtech africa limited,2018-09-18,State Corporation,0 Days,2018
2313,rehabilitation of bungale borehole of magarini constituency kilifi cou...,CWSB/NDMPIII/01/2018-2019,"3,999,303.00",TOVJ2MOH,Ongoing,2018-10-24 12:09:18,2019-02-02,Sep,Coast Water Services Board,P051584625H,fransa agencies,2018-09-18,State Corporation,0 Days,2018
2314,"supply of toners,computer ups & extension cables",KDB/G/108/3442,"607,100.00",BZSIHNNT,Ongoing,2018-11-16 12:05:42,1970-01-01,Sep,Kenya Dairy Board,P051618264R,sanlam express limited,2018-09-18,State Corporation,0 Days,2018
2315,"supply of office furniture(extension cables, sockets & office safe)",KDB/G/107/0633/3436/4565,"74,650.00",M5DNQHGD,Ongoing,2019-01-04 15:44:46,2018-09-17,Sep,Kenya Dairy Board,A003840433N,romes investments,2018-09-18,State Corporation,0 Days,2018
2316,provision of medical services,ACFC/HR/01/2018-19B,"5,709,960.00",YNZ2XH5R,Ongoing,2018-11-09 9:33:52,1970-01-01,Sep,Agro-Chemical and Food Company Limited,P051129070B,siloam hospital limited,2018-09-18,State Corporation,0 Days,2018
2317,supply of assorted spare parts for komatsu pc 650,RFQ 17534082,"242,570.00",P1KALPAD,Ongoing,2018-09-18 10:14:29,2018-10-31,Sep,The East African Portland Cement Company,P000598677T,motor components & accessories limited,2018-09-17,State Corporation,0 Days,2018
